Estimator,MSE,seconds,dataset.kwargs.dataset
IPS,0.0002488401828886,0.0069305896759033,ecoli
DM,0.0011726880871344,0.0027644634246826,ecoli
DR,0.0001307401578421,0.0010123252868652,ecoli
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0011726880871344,0.0513443946838378,ecoli
B: A + one SE rule,0.0001307401578421,0.0544722080230712,ecoli
C: A + theory split ratio,0.0001307401578421,0.1215324401855468,ecoli
D: B + C,0.0001307401578421,0.1342775821685791,ecoli
E: D + 100 K training/test splits,0.0001307401578421,1.6796586513519287,ecoli
IPS,0.000104275873165,0.0003914833068847,glass
DM,0.0009703914510934,0.0023481845855712,glass
DR,9.09184168144072e-06,0.0008347034454345,glass
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0009703914510934,0.0866625308990478,glass
B: A + one SE rule,0.0009703914510934,0.0738060474395752,glass
C: A + theory split ratio,0.0009703914510934,0.365236759185791,glass
D: B + C,0.0009703914510934,0.3114378452301025,glass
E: D + 100 K training/test splits,9.09184168144072e-06,2.539508581161499,glass
IPS,0.0002327686148581,0.0667743682861328,letter
DM,0.1405691863056278,0.0922517776489257,letter
DR,0.0002762016496569,0.1071610450744628,letter
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0002762016496569,2.814473390579224,letter
B: A + one SE rule,0.0002762016496569,1.2702391147613523,letter
C: A + theory split ratio,0.0002762016496569,4.752140998840332,letter
D: B + C,0.0002762016496569,4.060513973236084,letter
E: D + 100 K training/test splits,0.0002762016496569,33.55477166175842,letter
IPS,0.0001881636169674,0.0030450820922851,optdigits
DM,0.0156013308603119,0.0304434299468994,optdigits
DR,4.369264425989194e-05,0.0065298080444335,optdigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0156013308603119,0.5317156314849854,optdigits
B: A + one SE rule,4.369264425989194e-05,0.1948351860046386,optdigits
C: A + theory split ratio,4.369264425989194e-05,2.905341386795044,optdigits
D: B + C,4.369264425989194e-05,3.501394271850586,optdigits
E: D + 100 K training/test splits,4.369264425989194e-05,23.409339666366577,optdigits
IPS,0.0001867653055119,0.0038084983825683,page-blocks
DM,0.001017415191698,0.0058000087738037,page-blocks
DR,2.242277341171219e-05,0.0184462070465087,page-blocks
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,2.242277341171219e-05,0.3007266521453857,page-blocks
B: A + one SE rule,2.242277341171219e-05,0.1924352645874023,page-blocks
C: A + theory split ratio,2.242277341171219e-05,0.6428711414337158,page-blocks
D: B + C,0.001017415191698,0.5781819820404053,page-blocks
E: D + 100 K training/test splits,2.242277341171219e-05,6.113502740859985,page-blocks
IPS,0.0007949124479653,0.0098857879638671,pendigits
DM,0.0541957055380367,0.0284600257873535,pendigits
DR,0.0002892724658678,0.0234644412994384,pendigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0007949124479653,1.092479228973389,pendigits
B: A + one SE rule,0.0002892724658678,0.6647343635559082,pendigits
C: A + theory split ratio,0.0002892724658678,1.9634356498718264,pendigits
D: B + C,0.0002892724658678,2.146531581878662,pendigits
E: D + 100 K training/test splits,0.0002892724658678,15.947199583053589,pendigits
IPS,0.0010193109215811,0.0029711723327636,satimage
DM,0.0138511602804128,0.0221953392028808,satimage
DR,7.674492403266971e-05,0.0118935108184814,satimage
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0138511602804128,0.5907857418060303,satimage
B: A + one SE rule,0.0010193109215811,0.3978364467620849,satimage
C: A + theory split ratio,0.0010193109215811,1.2084534168243408,satimage
D: B + C,7.674492403266971e-05,1.2244386672973633,satimage
E: D + 100 K training/test splits,7.674492403266971e-05,10.5593523979187,satimage
IPS,0.000142222317631,0.0013225078582763,vehicle
DM,0.0033168361561686,0.0170502662658691,vehicle
DR,3.2173272822417506e-07,0.0022985935211181,vehicle
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0033168361561686,0.2170872688293457,vehicle
B: A + one SE rule,0.0033168361561686,0.1604697704315185,vehicle
C: A + theory split ratio,3.2173272822417506e-07,0.4711062908172607,vehicle
D: B + C,3.2173272822417506e-07,0.2009389400482177,vehicle
E: D + 100 K training/test splits,3.2173272822417506e-07,2.697328805923462,vehicle
IPS,0.0002408760988773,0.0026123523712158,yeast
DM,0.0022815821809021,0.0073225498199462,yeast
DR,0.0005294047929188,0.0049045085906982,yeast
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0022815821809021,0.270611047744751,yeast
B: A + one SE rule,0.0005294047929188,0.1331803798675537,yeast
C: A + theory split ratio,0.0005294047929188,0.9522097110748292,yeast
D: B + C,0.0002408760988773,0.8319902420043945,yeast
E: D + 100 K training/test splits,0.0005294047929188,4.032198667526245,yeast
IPS,0.0283894394958464,0.0007023811340332,ecoli
DM,0.0160785480559166,0.0029382705688476,ecoli
DR,0.009751573652711,0.0012950897216796,ecoli
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0160785480559166,0.0628259181976318,ecoli
B: A + one SE rule,0.009751573652711,0.037236213684082,ecoli
C: A + theory split ratio,0.009751573652711,0.4539887905120849,ecoli
D: B + C,0.009751573652711,0.4524085521697998,ecoli
E: D + 100 K training/test splits,0.009751573652711,3.4925615787506104,ecoli
IPS,0.0035909361973227,0.0028705596923828,glass
DM,0.0055090167785082,0.0030932426452636,glass
DR,0.0060744882935029,0.0029127597808837,glass
