Estimator,MSE,seconds,dataset.kwargs.dataset
IPS,0.0002488401828886,0.0003800392150878,ecoli
DM,0.0011726880871344,0.0027086734771728,ecoli
DR,0.0001307401578421,0.0008647441864013,ecoli
\ensuremath{\tt OCV_{IPS}},0.0002488401828886,0.0304994583129882,ecoli
\ensuremath{\tt OCV_{DR}},0.0001307401578421,0.103569746017456,ecoli
\textsc{Slope},0.0011726880871344,0.0022361278533935,ecoli
\ensuremath{\tt PAS{\text -}IF},0.0011726880871344,6.029194116592407,ecoli
IPS,0.000104275873165,0.000737190246582,glass
DM,0.0009703914510934,0.0026674270629882,glass
DR,9.09184168144072e-06,0.0030939579010009,glass
\ensuremath{\tt OCV_{IPS}},0.000104275873165,0.1934659481048584,glass
\ensuremath{\tt OCV_{DR}},0.0009703914510934,0.4506492614746094,glass
\textsc{Slope},0.0009703914510934,0.0063765048980712,glass
\ensuremath{\tt PAS{\text -}IF},0.000104275873165,6.4950714111328125,glass
IPS,0.0002327686148581,0.067326545715332,letter
DM,0.1405691863056278,0.0891501903533935,letter
DR,0.0002762016496569,0.1060540676116943,letter
\ensuremath{\tt OCV_{IPS}},0.0002762016496569,2.9923412799835205,letter
\ensuremath{\tt OCV_{DR}},0.0002762016496569,4.292993545532227,letter
\textsc{Slope},0.0002762016496569,0.2394318580627441,letter
\ensuremath{\tt PAS{\text -}IF},0.1405691863056278,56.73938870429993,letter
IPS,0.0001881636169674,0.0131008625030517,optdigits
DM,0.0156013308603119,0.1297831535339355,optdigits
DR,4.369264425989194e-05,0.0210537910461425,optdigits
\ensuremath{\tt OCV_{IPS}},0.0001881636169674,0.8330817222595215,optdigits
\ensuremath{\tt OCV_{DR}},4.369264425989194e-05,5.16880989074707,optdigits
\textsc{Slope},4.369264425989194e-05,0.087029218673706,optdigits
\ensuremath{\tt PAS{\text -}IF},0.0156013308603119,36.87643074989319,optdigits
IPS,0.0001867653055119,0.0027403831481933,page-blocks
DM,0.001017415191698,0.0089221000671386,page-blocks
DR,2.242277341171219e-05,0.0056898593902587,page-blocks
\ensuremath{\tt OCV_{IPS}},0.0001867653055119,0.2779788970947265,page-blocks
\ensuremath{\tt OCV_{DR}},0.001017415191698,0.5739552974700928,page-blocks
\textsc{Slope},2.242277341171219e-05,0.02984619140625,page-blocks
\ensuremath{\tt PAS{\text -}IF},0.0001867653055119,29.40508961677552,page-blocks
IPS,0.0007949124479653,0.0126056671142578,pendigits
DM,0.0541957055380367,0.0272321701049804,pendigits
DR,0.0002892724658678,0.022109031677246,pendigits
\ensuremath{\tt OCV_{IPS}},0.0007949124479653,0.7329480648040771,pendigits
\ensuremath{\tt OCV_{DR}},0.0002892724658678,1.397522211074829,pendigits
\textsc{Slope},0.0002892724658678,0.0605239868164062,pendigits
\ensuremath{\tt PAS{\text -}IF},0.0541957055380367,23.31681227684021,pendigits
IPS,0.0010193109215811,0.0086879730224609,satimage
DM,0.0138511602804128,0.0285193920135498,satimage
DR,7.674492403266971e-05,0.0196540355682373,satimage
\ensuremath{\tt OCV_{IPS}},7.674492403266971e-05,0.8245236873626709,satimage
\ensuremath{\tt OCV_{DR}},7.674492403266971e-05,1.0409164428710938,satimage
\textsc{Slope},7.674492403266971e-05,0.0356204509735107,satimage
\ensuremath{\tt PAS{\text -}IF},0.0138511602804128,26.1964750289917,satimage
IPS,0.000142222317631,0.00986909866333,vehicle
DM,0.0033168361561686,0.00911545753479,vehicle
DR,3.2173272822417506e-07,0.0123803615570068,vehicle
\ensuremath{\tt OCV_{IPS}},0.000142222317631,0.4298651218414306,vehicle
\ensuremath{\tt OCV_{DR}},3.2173272822417506e-07,0.6331033706665039,vehicle
\textsc{Slope},0.0033168361561686,0.0029001235961914,vehicle
\ensuremath{\tt PAS{\text -}IF},0.0033168361561686,10.985679626464844,vehicle
IPS,0.0002408760988773,0.0034554004669189,yeast
DM,0.0022815821809021,0.0141751766204833,yeast
DR,0.0005294047929188,0.0053937435150146,yeast
\ensuremath{\tt OCV_{IPS}},0.0002408760988773,0.4293291568756103,yeast
\ensuremath{\tt OCV_{DR}},0.0002408760988773,0.897890567779541,yeast
\textsc{Slope},0.0022815821809021,0.0161688327789306,yeast
\ensuremath{\tt PAS{\text -}IF},0.0022815821809021,14.122307538986206,yeast
IPS,0.0283894394958464,0.0007057189941406,ecoli
DM,0.0160785480559166,0.0029351711273193,ecoli
DR,0.009751573652711,0.0073375701904296,ecoli
\ensuremath{\tt OCV_{IPS}},0.0283894394958464,0.1016857624053955,ecoli
\ensuremath{\tt OCV_{DR}},0.009751573652711,0.2419550418853759,ecoli
\textsc{Slope},0.0160785480559166,0.0046863555908203,ecoli
\ensuremath{\tt PAS{\text -}IF},0.0160785480559166,5.670853614807129,ecoli
IPS,0.0035909361973227,0.0009560585021972,glass
DM,0.0055090167785082,0.0075767040252685,glass
DR,0.0060744882935029,0.0078253746032714,glass
\ensuremath{\tt OCV_{IPS}},0.0060744882935029,0.1833937168121338,glass
\ensuremath{\tt OCV_{DR}},0.0035909361973227,0.5486841201782227,glass
\textsc{Slope},0.0055090167785082,0.0160214900970459,glass
\ensuremath{\tt PAS{\text -}IF},0.0055090167785082,6.1697328090667725,glass
IPS,0.0001455487312573,0.0726184844970703,letter
DM,0.1398261338374621,0.1121861934661865,letter
DR,3.638140665906413e-05,0.1340601444244384,letter
\ensuremath{\tt OCV_{IPS}},3.638140665906413e-05,3.432659149169922,letter
\ensuremath{\tt OCV_{DR}},3.638140665906413e-05,4.571126222610474,letter
\textsc{Slope},3.638140665906413e-05,0.2456061840057373,letter
\ensuremath{\tt PAS{\text -}IF},0.1398261338374621,54.46812081336975,letter
IPS,5.339453976885053e-07,0.0111770629882812,optdigits
DM,0.0174462601355999,0.0770738124847412,optdigits
DR,0.0001945176351866,0.0175881385803222,optdigits
\ensuremath{\tt OCV_{IPS}},5.339453976885053e-07,0.7336721420288086,optdigits
\ensuremath{\tt OCV_{DR}},0.0001945176351866,3.676216363906861,optdigits
\textsc{Slope},0.0001945176351866,0.035362958908081,optdigits
\ensuremath{\tt PAS{\text -}IF},0.0174462601355999,33.24834132194519,optdigits
IPS,0.0025287269942544,0.0107703208923339,page-blocks
DM,0.0009965318585085,0.0068621635437011,page-blocks
DR,1.0344897819662157e-06,0.0253541469573974,page-blocks
\ensuremath{\tt OCV_{IPS}},0.0025287269942544,0.2904603481292724,page-blocks
\ensuremath{\tt OCV_{DR}},1.0344897819662157e-06,0.5820391178131104,page-blocks
\textsc{Slope},1.0344897819662157e-06,0.0204753875732421,page-blocks
\ensuremath{\tt PAS{\text -}IF},0.0009965318585085,17.60849618911743,page-blocks
IPS,4.979522984284117e-06,0.0172204971313476,pendigits
DM,0.0469150050506894,0.0339395999908447,pendigits
DR,1.2457138264014658e-06,0.0289561748504638,pendigits
\ensuremath{\tt OCV_{IPS}},1.2457138264014658e-06,1.0133764743804932,pendigits
\ensuremath{\tt OCV_{DR}},1.2457138264014658e-06,1.5095453262329102,pendigits
\textsc{Slope},1.2457138264014658e-06,0.0631194114685058,pendigits
\ensuremath{\tt PAS{\text -}IF},0.0469150050506894,25.175387620925903,pendigits
IPS,0.0003273846917667,0.0048422813415527,satimage
DM,0.0161047692102752,0.0242612361907959,satimage
DR,4.644407138799741e-06,0.0133497714996337,satimage
\ensuremath{\tt OCV_{IPS}},4.644407138799741e-06,0.6494088172912598,satimage
\ensuremath{\tt OCV_{DR}},4.644407138799741e-06,1.2694122791290283,satimage
\textsc{Slope},4.644407138799741e-06,0.021308422088623,satimage
\ensuremath{\tt PAS{\text -}IF},0.0161047692102752,23.73862886428833,satimage
IPS,2.6518333325831574e-07,0.0008184909820556,vehicle
DM,0.0066640708032193,0.0044381618499755,vehicle
DR,0.0005057713069394,0.0016310214996337,vehicle
