Estimator,MSE,seconds,dataset.kwargs.dataset
IPS,5.818391483409117e-05,0.0410711765289306,ecoli
DM,0.0001380273731319,0.0054521560668945,ecoli
DR,0.0001075692328221,0.0081491470336914,ecoli
\ensuremath{\tt OCV_{IPS}},5.818391483409117e-05,0.4206728935241699,ecoli
\ensuremath{\tt OCV_{DR}},5.818391483409117e-05,0.7720911502838135,ecoli
\textsc{Slope},0.0001380273731319,0.0103378295898437,ecoli
\ensuremath{\tt PAS{\text -}IF},5.818391483409117e-05,10.00740098953247,ecoli
IPS,8.253742124528493e-07,0.0110855102539062,glass
DM,0.0106277814374107,0.0042166709899902,glass
DR,0.0117330548533545,0.01507568359375,glass
\ensuremath{\tt OCV_{IPS}},8.253742124528493e-07,0.3256583213806152,glass
\ensuremath{\tt OCV_{DR}},8.253742124528493e-07,0.5801396369934082,glass
\textsc{Slope},0.0106277814374107,0.0126996040344238,glass
\ensuremath{\tt PAS{\text -}IF},8.253742124528493e-07,6.666962146759033,glass
IPS,2.6526230997419e-07,0.0401778221130371,letter
DM,0.0011637634153239,0.0550858974456787,letter
DR,7.3706539865878385e-06,0.0678615570068359,letter
\ensuremath{\tt OCV_{IPS}},2.6526230997419e-07,2.1419425010681152,letter
\ensuremath{\tt OCV_{DR}},7.3706539865878385e-06,3.083662748336792,letter
\textsc{Slope},7.3706539865878385e-06,0.2320852279663086,letter
\ensuremath{\tt PAS{\text -}IF},0.0011637634153239,49.44095706939697,letter
IPS,5.286488394981088e-07,0.0080363750457763,optdigits
DM,0.0022083447008761,0.0622503757476806,optdigits
DR,0.0001517638760198,0.0205676555633544,optdigits
\ensuremath{\tt OCV_{IPS}},5.286488394981088e-07,1.604184627532959,optdigits
\ensuremath{\tt OCV_{DR}},0.0001517638760198,3.4902288913726807,optdigits
\textsc{Slope},5.286488394981088e-07,0.0337076187133789,optdigits
\ensuremath{\tt PAS{\text -}IF},0.0022083447008761,33.236855030059814,optdigits
IPS,2.2522075728617075e-06,0.0020694732666015,page-blocks
DM,4.393221068976009e-05,0.0038292407989501,page-blocks
DR,0.0001100478625458,0.0102322101593017,page-blocks
\ensuremath{\tt OCV_{IPS}},2.2522075728617075e-06,0.3248898983001709,page-blocks
\ensuremath{\tt OCV_{DR}},0.0001100478625458,0.5685782432556152,page-blocks
\textsc{Slope},2.2522075728617075e-06,0.0195834636688232,page-blocks
\ensuremath{\tt PAS{\text -}IF},4.393221068976009e-05,26.2140851020813,page-blocks
IPS,4.883589835722231e-10,0.017068862915039,pendigits
DM,0.0032969106471615,0.021188735961914,pendigits
DR,1.6942264540472174e-07,0.0224049091339111,pendigits
\ensuremath{\tt OCV_{IPS}},4.883589835722231e-10,1.21569561958313,pendigits
\ensuremath{\tt OCV_{DR}},4.883589835722231e-10,2.083106279373169,pendigits
\textsc{Slope},1.6942264540472174e-07,0.0935909748077392,pendigits
\ensuremath{\tt PAS{\text -}IF},0.0032969106471615,27.43492293357849,pendigits
IPS,8.157740888978548e-07,0.0036818981170654,satimage
DM,0.0034614296729178,0.0185706615447998,satimage
DR,8.35332065375798e-05,0.0122435092926025,satimage
\ensuremath{\tt OCV_{IPS}},8.157740888978548e-07,0.730186939239502,satimage
\ensuremath{\tt OCV_{DR}},8.157740888978548e-07,1.069350242614746,satimage
\textsc{Slope},8.35332065375798e-05,0.0363857746124267,satimage
\ensuremath{\tt PAS{\text -}IF},0.0034614296729178,25.73001837730408,satimage
IPS,8.778444896075561e-06,0.0012927055358886,vehicle
DM,0.0043732737807941,0.0065531730651855,vehicle
DR,0.0001456766958208,0.0035772323608398,vehicle
\ensuremath{\tt OCV_{IPS}},8.778444896075561e-06,0.3030416965484619,vehicle
\ensuremath{\tt OCV_{DR}},8.778444896075561e-06,0.52219557762146,vehicle
\textsc{Slope},0.0001456766958208,0.0147256851196289,vehicle
\ensuremath{\tt PAS{\text -}IF},0.0043732737807941,7.129029512405396,vehicle
IPS,4.236306437487117e-05,0.005286693572998,yeast
DM,3.111515747193854e-05,0.0045447349548339,yeast
DR,1.60809728066526e-05,0.0041022300720214,yeast
\ensuremath{\tt OCV_{IPS}},1.60809728066526e-05,0.2955732345581054,yeast
\ensuremath{\tt OCV_{DR}},4.236306437487117e-05,0.6346383094787598,yeast
\textsc{Slope},3.111515747193854e-05,0.0158264636993408,yeast
\ensuremath{\tt PAS{\text -}IF},3.111515747193854e-05,18.28214263916016,yeast
IPS,0.0001102784631421,0.0009546279907226,ecoli
DM,7.621292828976717e-06,0.0045506954193115,ecoli
DR,1.978196986564469e-06,0.0057201385498046,ecoli
\ensuremath{\tt OCV_{IPS}},0.0001102784631421,0.1863913536071777,ecoli
\ensuremath{\tt OCV_{DR}},0.0001102784631421,0.4276657104492187,ecoli
\textsc{Slope},7.621292828976717e-06,0.0086369514465332,ecoli
\ensuremath{\tt PAS{\text -}IF},0.0001102784631421,9.276764631271362,ecoli
IPS,1.3467066104290836e-05,0.0008816719055175,glass
DM,8.097683140912902e-05,0.0033462047576904,glass
DR,4.432546475312501e-05,0.0058026313781738,glass
\ensuremath{\tt OCV_{IPS}},1.3467066104290836e-05,0.2435243129730224,glass
\ensuremath{\tt OCV_{DR}},1.3467066104290836e-05,0.4868707656860351,glass
\textsc{Slope},8.097683140912902e-05,0.0059034824371337,glass
\ensuremath{\tt PAS{\text -}IF},1.3467066104290836e-05,8.122184038162231,glass
IPS,6.276237004952164e-07,0.0153956413269042,letter
DM,0.000981502809319,0.0250382423400878,letter
DR,7.692744002199103e-08,0.0261270999908447,letter
\ensuremath{\tt OCV_{IPS}},6.276237004952164e-07,1.027820110321045,letter
\ensuremath{\tt OCV_{DR}},6.276237004952164e-07,2.471673011779785,letter
\textsc{Slope},7.692744002199103e-08,0.2214808464050293,letter
\ensuremath{\tt PAS{\text -}IF},0.000981502809319,41.66856646537781,letter
IPS,3.448247377583268e-07,0.0137112140655517,optdigits
