Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
IPS,0.00024884018288869855,0.00030684471130371094,ecoli
DM,0.0011726880871344865,0.010004043579101562,ecoli
DR,0.00013074015784214315,0.0005896091461181641,ecoli
\ensuremath{\tt OCV_{DM}},0.00013074015784214315,0.059922218322753906,ecoli
IPS,0.00010427587316506931,0.00024127960205078125,glass
DM,0.0009703914510934363,0.0016446113586425781,glass
DR,9.091841681440719e-06,0.0003898143768310547,glass
\ensuremath{\tt OCV_{DM}},9.091841681440719e-06,0.06305551528930664,glass
IPS,0.00023276861485818718,0.011008262634277344,letter
DM,0.1405691863056278,0.032094717025756836,letter
DR,0.00027620164965694397,0.020872831344604492,letter
\ensuremath{\tt OCV_{DM}},0.1405691863056278,0.9179694652557373,letter
IPS,0.0001881636169674274,0.0018796920776367188,optdigits
DM,0.015601330860311909,0.017313480377197266,optdigits
DR,4.369264425989047e-05,0.0056154727935791016,optdigits
\ensuremath{\tt OCV_{DM}},0.015601330860311909,0.37717723846435547,optdigits
IPS,0.00018676530551192398,0.0009059906005859375,page-blocks
DM,0.0010174151916980188,0.002639293670654297,page-blocks
DR,2.242277341171114e-05,0.0015864372253417969,page-blocks
\ensuremath{\tt OCV_{DM}},0.0010174151916980188,0.1298689842224121,page-blocks
IPS,0.0007949124479653788,0.00182342529296875,pendigits
DM,0.05419570553803678,0.0059201717376708984,pendigits
DR,0.0002892724658678457,0.003206491470336914,pendigits
\ensuremath{\tt OCV_{DM}},0.05419570553803678,0.2563624382019043,pendigits
IPS,0.0010193109215811422,0.0013306140899658203,satimage
DM,0.013851160280412812,0.007260322570800781,satimage
DR,7.674492403266582e-05,0.002836465835571289,satimage
\ensuremath{\tt OCV_{DM}},0.013851160280412812,0.17860865592956543,satimage
IPS,0.00014222231763105273,0.00030994415283203125,vehicle
DM,0.003316836156168599,0.0016560554504394531,vehicle
DR,3.217327282237972e-07,0.0004394054412841797,vehicle
\ensuremath{\tt OCV_{DM}},0.003316836156168599,0.08514022827148438,vehicle
IPS,0.00024087609887737236,0.0007274150848388672,yeast
DM,0.0022815821809021902,0.0030167102813720703,yeast
DR,0.0005294047929188074,0.0006992816925048828,yeast
\ensuremath{\tt OCV_{DM}},0.0022815821809021902,0.10431289672851562,yeast
IPS,0.028389439495846554,0.0002589225769042969,ecoli
DM,0.016078548055916696,0.001974344253540039,ecoli
DR,0.009751573652711079,0.00041794776916503906,ecoli
\ensuremath{\tt OCV_{DM}},0.016078548055916696,0.06613922119140625,ecoli
IPS,0.0035909361973227804,0.0002434253692626953,glass
DM,0.005509016778507971,0.001941680908203125,glass
DR,0.006074488293502941,0.0003895759582519531,glass
