Estimator,MSE,seconds,regret,dataset.eval_model_split
IPS,8.408276326098539e-05,0.0002894401550292,0.0,10
DM,0.0981206484831696,0.0014827251434326,0.0980365657199087,10
DR,0.098119298382333,0.0004074573516845,0.0980352156190721,10
\ensuremath{\tt OCV_{IPS}},8.408276326098539e-05,0.0205094814300537,0.0,10
\ensuremath{\tt OCV_{DR}},8.408276326098539e-05,0.0294399261474609,0.0,10
\textsc{Slope},8.408276326098539e-05,0.0015244483947753,0.0,10
\ensuremath{\tt PAS{\text -}IF},8.408276326098539e-05,3.9801135063171382,0.0,10
IPS,9.666550425035384e-05,0.000293493270874,0.0,20
DM,0.0287513430657453,0.0016689300537109,0.028654677561495,20
DR,0.0287496478154115,0.0004620552062988,0.0286529823111611,20
\ensuremath{\tt OCV_{IPS}},9.666550425035384e-05,0.0174291133880615,0.0,20
\ensuremath{\tt OCV_{DR}},9.666550425035384e-05,0.05192232131958,0.0,20
\textsc{Slope},9.666550425035384e-05,0.0016481876373291,0.0,20
\ensuremath{\tt PAS{\text -}IF},0.0287513430657453,3.160729169845581,0.028654677561495,20
IPS,0.0003988519149246,0.0004570484161376,0.0,50
DM,0.0332610305868593,0.0031549930572509,0.0328621786719346,50
DR,0.0332537131871531,0.001232624053955,0.0328548612722285,50
\ensuremath{\tt OCV_{IPS}},0.0003988519149246,0.1027107238769531,0.0,50
\ensuremath{\tt OCV_{DR}},0.0332610305868593,0.1335165500640869,0.0328621786719346,50
\textsc{Slope},0.0003988519149246,0.0024905204772949,0.0,50
\ensuremath{\tt PAS{\text -}IF},0.0332537131871531,3.13074278831482,0.0328548612722285,50
IPS,2.554978712642127e-05,0.0003290176391601,0.0,100
DM,0.0010753496413693,0.0030643939971923,0.0010497998542428,100
DR,0.0010725313203248,0.0006585121154785,0.0010469815331983,100
\ensuremath{\tt OCV_{IPS}},2.554978712642127e-05,0.0623145103454589,0.0,100
\ensuremath{\tt OCV_{DR}},2.554978712642127e-05,0.124516487121582,0.0,100
\textsc{Slope},0.0010753496413693,0.0033230781555175,0.0010497998542428,100
\ensuremath{\tt PAS{\text -}IF},2.554978712642127e-05,3.623214244842529,0.0,100
IPS,0.0002642926805478,0.0055031776428222,0.0002049505039717,200
DM,7.151705814266489e-05,0.0035197734832763,1.217488156660694e-05,200
