Estimator,MSE,seconds,dataset.kwargs.dataset,logging_policy.kwargs.temperature,target_policy.kwargs.temperature
TruncatedIPS Original Tuning/Theory,0.0042391336542269,0.0072841644287109,ecoli,3,10
TruncatedIPS \ensuremath{\tt OCV_{IPS}},0.0002981085810953,1.8112664222717283,ecoli,3,10
TruncatedIPS \ensuremath{\tt OCV_{DR}},0.0061964771919098,4.088582754135132,ecoli,3,10
TruncatedIPS \textsc{Slope},0.0276035513875121,0.0247161388397216,ecoli,3,10
TruncatedIPS \ensuremath{\tt PAS{\text -}IF},0.0606672851625804,12.596028327941896,ecoli,3,10
\textsc{Switch}-DR Original Tuning/Theory,4.691434841517918e-06,0.1104185581207275,ecoli,3,10
\textsc{Switch}-DR \ensuremath{\tt OCV_{IPS}},3.623958919057862e-05,1.7556886672973633,ecoli,3,10
\textsc{Switch}-DR \ensuremath{\tt OCV_{DR}},3.619818082559048e-05,6.192054271697998,ecoli,3,10
\textsc{Switch}-DR \textsc{Slope},3.623958919057862e-05,0.1371009349822998,ecoli,3,10
\textsc{Switch}-DR \ensuremath{\tt PAS{\text -}IF},4.677497290393178e-05,11.337576389312744,ecoli,3,10
CAB \ensuremath{\tt OCV_{IPS}},0.0042554332566875,3.689138889312744,ecoli,3,10
CAB \ensuremath{\tt OCV_{DR}},0.0045143351360484,6.06980299949646,ecoli,3,10
CAB \textsc{Slope},0.0042441436229312,0.1145431995391845,ecoli,3,10
CAB \ensuremath{\tt PAS{\text -}IF},0.0042441436229312,10.25346326828003,ecoli,3,10
DRos Original Tuning/Theory,0.000136970981335,0.2726044654846191,ecoli,3,10
DRos \ensuremath{\tt OCV_{IPS}},5.211451976633666e-08,3.1337127685546875,ecoli,3,10
DRos \ensuremath{\tt OCV_{DR}},0.000136970981335,7.020971775054932,ecoli,3,10
DRos \textsc{Slope},3.620340121046566e-05,0.1557307243347168,ecoli,3,10
DRos \ensuremath{\tt PAS{\text -}IF},5.175434819057885e-05,9.495132207870483,ecoli,3,10
DRps Original Tuning/Theory,3.084114869708687e-05,0.1796028614044189,ecoli,3,10
DRps \ensuremath{\tt OCV_{IPS}},6.351225198498997e-05,2.729053497314453,ecoli,3,10
DRps \ensuremath{\tt OCV_{DR}},2.732755261712472e-06,5.36713171005249,ecoli,3,10
DRps \textsc{Slope},3.601757148456271e-05,0.0526094436645507,ecoli,3,10
DRps \ensuremath{\tt PAS{\text -}IF},3.601757148456271e-05,6.988130807876587,ecoli,3,10
IPS-$\lambda$ Original Tuning/Theory,0.003124922348635,0.0069642066955566,ecoli,3,10
IPS-$\lambda$ \ensuremath{\tt OCV_{IPS}},0.0042283496800157,0.7548618316650391,ecoli,3,10
IPS-$\lambda$ \ensuremath{\tt OCV_{DR}},0.0020848542758278,2.5291898250579834,ecoli,3,10
IPS-$\lambda$ \textsc{Slope},0.0278716174419115,0.0411417484283447,ecoli,3,10
IPS-$\lambda$ \ensuremath{\tt PAS{\text -}IF},0.0663556796568499,5.997145891189575,ecoli,3,10
GroupIPS \ensuremath{\tt OCV_{IPS}},0.0030731499533684,0.3410098552703857,ecoli,3,10
GroupIPS \ensuremath{\tt OCV_{DR}},0.0047133805424952,0.5810751914978027,ecoli,3,10
GroupIPS \textsc{Slope},4.699932241904167e-05,0.013594627380371,ecoli,3,10
GroupIPS \ensuremath{\tt PAS{\text -}IF},4.699932241904167e-05,6.696616411209106,ecoli,3,10
Everything \ensuremath{\tt OCV_{IPS}},0.0042503136355444,7.323128938674927,ecoli,3,10
Everything \ensuremath{\tt OCV_{DR}},5.175434819057885e-05,34.005802392959595,ecoli,3,10
Everything \ensuremath{\tt PAS{\text -}IF},0.0989893484462006,13.84205722808838,ecoli,3,10
TruncatedIPS Original Tuning/Theory,9.968260235310857e-06,0.0010309219360351,ecoli,3,-10
TruncatedIPS \ensuremath{\tt OCV_{IPS}},9.968260235310857e-06,0.6245315074920654,ecoli,3,-10
TruncatedIPS \ensuremath{\tt OCV_{DR}},0.0001015915901136,3.3361928462982178,ecoli,3,-10
TruncatedIPS \textsc{Slope},0.0001452829647172,0.0504941940307617,ecoli,3,-10
TruncatedIPS \ensuremath{\tt PAS{\text -}IF},9.968260235310857e-06,10.10478448867798,ecoli,3,-10
\textsc{Switch}-DR Original Tuning/Theory,0.0015088875970263,0.1085972785949707,ecoli,3,-10
\textsc{Switch}-DR \ensuremath{\tt OCV_{IPS}},0.0011987698703038,3.845266342163086,ecoli,3,-10
\textsc{Switch}-DR \ensuremath{\tt OCV_{DR}},0.001263903804827,6.145915508270264,ecoli,3,-10
\textsc{Switch}-DR \textsc{Slope},0.0011655256364915,0.1069312095642089,ecoli,3,-10
\textsc{Switch}-DR \ensuremath{\tt PAS{\text -}IF},0.001642345464667,9.565315008163452,ecoli,3,-10
CAB \ensuremath{\tt OCV_{IPS}},8.42699993970012e-06,3.198667526245117,ecoli,3,-10
CAB \ensuremath{\tt OCV_{DR}},0.0010568719320424,3.371387481689453,ecoli,3,-10
CAB \textsc{Slope},8.42699993970012e-06,0.0705599784851074,ecoli,3,-10
CAB \ensuremath{\tt PAS{\text -}IF},0.0003178896977105,7.702796459197998,ecoli,3,-10
DRos Original Tuning/Theory,0.0013953415646759,0.1102795600891113,ecoli,3,-10
DRos \ensuremath{\tt OCV_{IPS}},0.001339813094017,2.722786664962769,ecoli,3,-10
DRos \ensuremath{\tt OCV_{DR}},0.0011694645691964,4.020367622375488,ecoli,3,-10
DRos \textsc{Slope},0.0011697102879047,0.1163969039916992,ecoli,3,-10
DRos \ensuremath{\tt PAS{\text -}IF},0.0011697102879047,9.13696551322937,ecoli,3,-10
DRps Original Tuning/Theory,0.0013428250826847,0.1108262538909912,ecoli,3,-10
DRps \ensuremath{\tt OCV_{IPS}},0.0012504953169762,2.7912023067474365,ecoli,3,-10
DRps \ensuremath{\tt OCV_{DR}},0.0011936478745297,4.964354515075684,ecoli,3,-10
DRps \textsc{Slope},0.001178784163749,0.1332020759582519,ecoli,3,-10
DRps \ensuremath{\tt PAS{\text -}IF},0.001178784163749,9.33655071258545,ecoli,3,-10
IPS-$\lambda$ Original Tuning/Theory,9.567044905977052e-06,0.0068099498748779,ecoli,3,-10
IPS-$\lambda$ \ensuremath{\tt OCV_{IPS}},8.113629148891162e-06,0.8041410446166992,ecoli,3,-10
IPS-$\lambda$ \ensuremath{\tt OCV_{DR}},9.84370077053443e-06,3.135986566543579,ecoli,3,-10
IPS-$\lambda$ \textsc{Slope},0.0003268672214781,0.0347282886505126,ecoli,3,-10
IPS-$\lambda$ \ensuremath{\tt PAS{\text -}IF},0.0719031514249703,9.643107175827026,ecoli,3,-10
GroupIPS \ensuremath{\tt OCV_{IPS}},2.942772296402641e-05,0.6008403301239014,ecoli,3,-10
GroupIPS \ensuremath{\tt OCV_{DR}},1.8957775577214625e-05,0.8593523502349854,ecoli,3,-10
GroupIPS \textsc{Slope},7.541546689241613e-06,0.0177862644195556,ecoli,3,-10
GroupIPS \ensuremath{\tt PAS{\text -}IF},7.541546689241613e-06,12.257243871688845,ecoli,3,-10
Everything \ensuremath{\tt OCV_{IPS}},2.149411120873853e-05,12.660594940185549,ecoli,3,-10
Everything \ensuremath{\tt OCV_{DR}},0.0001329468814491,26.851420640945435,ecoli,3,-10
Everything \ensuremath{\tt PAS{\text -}IF},0.0719031514249703,13.39840054512024,ecoli,3,-10
TruncatedIPS Original Tuning/Theory,0.0002488401828886,0.0013160705566406,ecoli,1,10
TruncatedIPS \ensuremath{\tt OCV_{IPS}},0.0002488401828886,0.8180608749389648,ecoli,1,10
TruncatedIPS \ensuremath{\tt OCV_{DR}},0.0875066161741249,2.826857328414917,ecoli,1,10
TruncatedIPS \textsc{Slope},0.0875066161741249,0.009035587310791,ecoli,1,10
TruncatedIPS \ensuremath{\tt PAS{\text -}IF},0.0875066161741249,9.261694431304932,ecoli,1,10
\textsc{Switch}-DR Original Tuning/Theory,0.002038401491307,0.0911099910736084,ecoli,1,10
\textsc{Switch}-DR \ensuremath{\tt OCV_{IPS}},0.0019930907789006,0.9671478271484376,ecoli,1,10
\textsc{Switch}-DR \ensuremath{\tt OCV_{DR}},0.002038401491307,4.177738189697266,ecoli,1,10
\textsc{Switch}-DR \textsc{Slope},0.0017551328117877,0.0966551303863525,ecoli,1,10
\textsc{Switch}-DR \ensuremath{\tt PAS{\text -}IF},0.002038401491307,9.744813442230225,ecoli,1,10
CAB \ensuremath{\tt OCV_{IPS}},0.000173760607154,4.448734521865845,ecoli,1,10
CAB \ensuremath{\tt OCV_{DR}},0.0002508185097202,3.9036667346954346,ecoli,1,10
CAB \textsc{Slope},0.0002508185097202,0.0655097961425781,ecoli,1,10
CAB \ensuremath{\tt PAS{\text -}IF},2.2711751443862684e-05,9.792974710464478,ecoli,1,10
DRos Original Tuning/Theory,2.6478129076091462e-05,0.3659462928771972,ecoli,1,10
DRos \ensuremath{\tt OCV_{IPS}},0.0001851796584191,2.5799806118011475,ecoli,1,10
DRos \ensuremath{\tt OCV_{DR}},2.285883038697751e-05,5.104362487792969,ecoli,1,10
DRos \textsc{Slope},0.0017571952974924,0.0703523159027099,ecoli,1,10
DRos \ensuremath{\tt PAS{\text -}IF},0.0018611733246853,10.43917751312256,ecoli,1,10
DRps Original Tuning/Theory,0.0005275696342905,0.3426170349121094,ecoli,1,10
DRps \ensuremath{\tt OCV_{IPS}},0.0005275696342905,2.6085004806518555,ecoli,1,10
DRps \ensuremath{\tt OCV_{DR}},0.0005275696342905,6.766989231109619,ecoli,1,10
DRps \textsc{Slope},0.0017583346218277,0.1128206253051757,ecoli,1,10
DRps \ensuremath{\tt PAS{\text -}IF},0.0017583346218277,9.488407611846924,ecoli,1,10
IPS-$\lambda$ Original Tuning/Theory,3.7080838921771736e-06,0.0069844722747802,ecoli,1,10
IPS-$\lambda$ \ensuremath{\tt OCV_{IPS}},8.322954378622155e-05,0.4424910545349121,ecoli,1,10
IPS-$\lambda$ \ensuremath{\tt OCV_{DR}},8.322954378622155e-05,1.1952214241027832,ecoli,1,10
IPS-$\lambda$ \textsc{Slope},0.0942954139778488,0.0108475685119628,ecoli,1,10
IPS-$\lambda$ \ensuremath{\tt PAS{\text -}IF},0.0942954139778488,7.186694383621216,ecoli,1,10
GroupIPS \ensuremath{\tt OCV_{IPS}},0.0002488401828886,0.4831843376159668,ecoli,1,10
GroupIPS \ensuremath{\tt OCV_{DR}},4.61478782756765e-05,0.6877841949462891,ecoli,1,10
GroupIPS \textsc{Slope},4.61478782756765e-05,0.0177927017211914,ecoli,1,10
GroupIPS \ensuremath{\tt PAS{\text -}IF},4.61478782756765e-05,8.880064010620117,ecoli,1,10
Everything \ensuremath{\tt OCV_{IPS}},0.0010638325474863,9.257452011108398,ecoli,1,10
Everything \ensuremath{\tt OCV_{DR}},0.0018764465050534,27.167308807373047,ecoli,1,10
Everything \ensuremath{\tt PAS{\text -}IF},0.1472351133424339,12.674496173858644,ecoli,1,10
TruncatedIPS Original Tuning/Theory,5.818391483409117e-05,0.0031793117523193,ecoli,1,-10
TruncatedIPS \ensuremath{\tt OCV_{IPS}},0.0001163045513633,1.0459628105163574,ecoli,1,-10
TruncatedIPS \ensuremath{\tt OCV_{DR}},0.0001612147254503,3.067988395690918,ecoli,1,-10
TruncatedIPS \textsc{Slope},0.0001612147254503,0.0444135665893554,ecoli,1,-10
